word,label
Give,S-VP
me,S-NP
all,B-NP
cosmonauts,E-NP
.,O
,
In,S-PP
which,S-NP
country,S-NP
does,S-VP
the,B-NP
Ganges,E-NP
start,S-VP
?,O
,
When,S-ADVP
is,S-VP
the,B-NP
movie,I-NP
Worst,I-NP
Case,I-NP
Scenario,E-NP
going,B-VP
to,I-VP
be,E-VP
in,S-PP
cinemas,S-NP
in,S-PP
the,B-NP
Netherlands,E-NP
?,O
,
Which,B-NP
German,I-NP
cities,E-NP
have,S-VP
more,B-NP
than,I-NP
250000,I-NP
inhabitants,E-NP
?,O
,
Who,S-NP
was,S-VP
John,B-NP
F.,I-NP
Kennedy,E-NP
's,B-NP
vice,I-NP
president,E-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
mayor,E-NP
of,S-PP
Tel,B-NP
Aviv,E-NP
?,O
,
How,B-NP
many,I-NP
students,E-NP
does,S-VP
the,B-NP
Free,I-NP
University,E-NP
in,S-PP
Amsterdam,S-NP
have,S-VP
?,O
,
What,S-NP
is,S-VP
the,B-NP
second,I-NP
highest,I-NP
mountain,E-NP
on,S-PP
Earth,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
professional,I-NP
skateboarders,E-NP
from,S-PP
Sweden,S-NP
.,O
,
When,S-ADVP
was,S-VP
Alberta,S-NP
admitted,S-VP
as,S-PP
province,S-NP
?,O
,
To,S-PP
which,S-NP
countries,S-NP
does,S-VP
the,B-NP
Himalayan,I-NP
mountain,I-NP
system,E-NP
extend,S-VP
?,O
,
Give,S-VP
me,S-NP
a,B-NP
list,E-NP
of,S-PP
all,B-NP
bandleaders,E-NP
that,S-NP
play,S-VP
trumpet,S-NP
.,O
,
Which,B-NP
countries,E-NP
have,S-VP
more,B-NP
than,I-NP
ten,I-NP
caves,E-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
total,I-NP
amount,E-NP
of,S-PP
men,B-NP
and,I-NP
women,E-NP
serving,S-VP
in,S-PP
the,B-NP
FDNY,E-NP
?,O
,
Who,S-NP
produces,S-VP
Orangina,S-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
Formula,I-NP
1,I-NP
race,I-NP
driver,E-NP
with,S-PP
the,B-NP
most,I-NP
races,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
world,I-NP
heritage,I-NP
sites,E-NP
designated,S-VP
within,S-PP
the,B-NP
past,I-NP
two,I-NP
years.,E-NP
,
Who,S-NP
is,S-VP
the,B-NP
youngest,I-NP
player,E-NP
in,S-PP
the,B-NP
Premier,I-NP
League,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
members,E-NP
of,S-PP
Prodigy,S-NP
.,O
,
What,S-NP
is,S-VP
the,B-NP
longest,I-NP
river,E-NP
?,O
,
Does,O
Breaking,B-NP
Bad,E-NP
have,S-VP
more,B-NP
episodes,E-NP
than,S-PP
Game,S-NP
of,S-PP
Thrones,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
cars,E-NP
that,S-NP
are,B-VP
produced,E-VP
in,S-PP
Germany,S-NP
.,O
,
What,S-NP
were,S-VP
the,B-NP
main,I-NP
discoveries,E-NP
of,S-PP
the,B-NP
Mars,I-NP
rover,I-NP
Curiosity,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
people,E-NP
that,S-NP
were,B-VP
born,E-VP
in,S-PP
Vienna,S-NP
and,O
died,S-VP
in,S-PP
Berlin,S-NP
.,O
,
Is,B-VP
proinsulin,E-VP
a,B-NP
protein,E-NP
?,O
,
How,B-ADJP
tall,E-ADJP
is,S-VP
Michael,B-NP
Jordan,E-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
capital,E-NP
of,S-PP
Canada,S-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
governor,E-NP
of,S-PP
Wyoming,S-NP
?,O
,
Do,O
Prince,B-NP
Harry,E-NP
and,O
Prince,B-NP
William,E-NP
have,S-VP
the,B-NP
same,I-NP
parents,E-NP
?,O
,
Who,S-NP
was,S-VP
the,B-NP
father,E-NP
of,S-PP
Queen,B-NP
Elizabeth,I-NP
II,E-NP
?,O
,
Which,S-NP
U.S.,B-NP
state,E-NP
has,B-VP
been,I-VP
admitted,E-VP
latest,S-ADVP
?,O
,
How,B-NP
many,I-NP
languages,E-NP
are,B-VP
spoken,E-VP
in,S-PP
Turkmenistan,S-NP
?,O
,
Butch,B-NP
Otter,E-NP
is,S-VP
the,B-NP
governor,E-NP
of,S-PP
which,S-NP
U.S.,B-NP
state,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
movies,E-NP
directed,S-VP
by,S-PP
Francis,B-NP
Ford,I-NP
Coppola,E-NP
.,O
,
Give,S-VP
me,S-NP
all,B-NP
actors,E-NP
starring,S-VP
in,S-PP
movies,S-NP
