          Which	      S-NP
          comic	      B-NP
     characters	      E-NP
            are	      B-VP
        painted	      E-VP
             by	      S-PP
           Bill	      B-NP
         Finger	      E-NP
              \	         O
              ?	         O

            Was	      S-VP
        Winston	      B-NP
      Churchill	      E-NP
            the	      B-NP
          prime	      I-NP
       minister	      E-NP
             of	      S-PP
         Selwyn	      B-NP
          Lloyd	      E-NP
              \	         O
              ?	         O

           Name	      S-VP
           some	      B-NP
        leaders	      E-NP
             of	      S-PP
            the	      B-NP
         parent	      I-NP
   organisation	      E-NP
             of	      S-PP
            the	      B-NP
        Gestapo	      E-NP
              \	         O
              ?	         O

          Which	      B-NP
          party	      E-NP
            has	      B-VP
           come	      E-VP
             in	      S-PP
          power	      S-NP
             in	      S-PP
         Mumbai	      B-NP
          North	      E-NP
              \	         O
              ?	         O

           Name	      S-VP
            the	      B-NP
   municipality	      E-NP
             of	      S-PP
        Roberto	      B-NP
       Clemente	      I-NP
         Bridge	      E-NP
              \	         O
              ?	         O

          Which	      B-NP
        royalty	      E-NP
            was	      B-VP
        married	      E-VP
             to	      S-PP
        ptolemy	      B-NP
           XIII	      I-NP
          Theos	      I-NP
     Philopator	      E-NP
            and	         O
            had	      B-VP
         mother	      I-VP
          named	      E-VP
      Cleopatra	      S-NP
              V	         O
              \	         O
              ?	         O

             In	      S-PP
          which	      S-NP
        monarch	      S-NP
            did	      S-VP
             Li	      B-NP
             Si	      E-NP
        succeed	      S-VP
        someone	      S-NP
              \	         O
              ?	         O

          Which	      B-NP
           home	      I-NP
           town	      E-NP
             of	      S-PP
          PAvel	      B-NP
          Moroz	      E-NP
             is	      S-VP
            the	      B-NP
          death	      I-NP
       location	      E-NP
             of	      S-PP
            the	      B-NP
          Yakov	      I-NP
         Estrin	      E-NP
              \	         O
              ?	         O

          Which	      B-NP
        company	      E-NP
          which	      S-NP
      assembles	      S-VP
            its	      B-NP
           cars	      E-NP
             in	      S-PP
   Broadmeadows	      S-NP
              ,	         O
       Victoria	      S-NP
              \	         O
              ?	         O

          Which	      B-NP
         person	      E-NP
       designed	      S-VP
            the	      B-NP
           cars	      E-NP
          which	      S-NP
            has	      B-VP
           been	      I-VP
       designed	      E-VP
             by	      S-PP
            ASC	      B-NP
       Creative	      I-NP
       Services	      E-NP
              \	         O
              ?	         O

           Name	         O
            the	      B-NP
      scientist	      E-NP
          whose	      B-NP
     supervisor	      E-NP
            was	      S-VP
         Ernest	      B-NP
     Rutherford	      E-NP
            and	         O
            had	      S-VP
              a	      B-NP
       doctoral	      I-NP
       students	      E-NP
          named	      S-VP
        Charles	      B-NP
       Drummond	      I-NP
          Ellis	      E-NP
              \	         O
              ?	         O

          Where	    S-ADVP
            was	      S-VP
            the	      B-NP
       designer	      E-NP
             of	      S-PP
            REP	      B-NP
        Parasol	      E-NP
           born	         O
              \	         O
              ?	         O

           What	      S-NP
             is	      S-VP
            the	      B-NP
         common	      I-NP
    affiliation	      E-NP
             of	      S-PP
            the	      B-NP
         Monroe	      I-NP
         Carell	      I-NP
             Jr	      I-NP
       Children	      E-NP
             's	      B-NP
       Hospital	      E-NP
             at	      S-PP
     Vanderbilt	      S-NP
            and	         O
           alma	      B-NP
          mater	      E-NP
             of	      S-PP
            the	      B-NP
         Duncan	      I-NP
              U	      I-NP
       Fletcher	      E-NP
              \	         O
              ?	         O

           What	      S-NP
             is	      S-VP
            the	      B-NP
       hometown	      E-NP
             of	      S-PP
          Nader	      B-NP
         Guirat	      E-NP
              ,	         O
          where	    S-ADVP
          Josef	      B-NP
      Johansson	      E-NP
            was	      B-VP
           born	      E-VP
            too	    B-ADVP
              \	    E-ADVP
              ?	         O

           What	      B-NP
             tv	      I-NP
         series	      E-NP
            can	      B-VP
             be	      I-VP
           said	      I-VP
             to	      I-VP
             be	      I-VP
        related	      E-VP
             to	      S-PP
            the	      B-NP
          sarah	      I-NP
           jane	      I-NP
      adventure	      E-NP
            and	         O
             dr	      S-NP
            who	      S-NP
   confidential	    S-ADJP
              \	         O
              ?	         O

            How	      B-NP
           many	      I-NP
          shows	      E-NP
           does	      S-VP
            HBO	      S-NP
           have	      B-VP
              \	      E-VP
              ?	         O

             Is	      S-VP
        Nikolai	      B-NP
        Morozov	      E-NP
            the	      B-NP
         former	      I-NP
          coach	      E-NP
             of	      S-PP
      Stanislav	      B-NP
        Morozov	      E-NP
              \	         O
              ?	         O

           What	      S-NP
             is	      S-VP
            the	      B-NP
         common	      I-NP
         genere	      E-NP
             of	      S-PP
        Abhijit	      B-NP
          Kunte	      E-NP
            and	         O
       Kasparov	      S-NP
              \	         O
              ?	         O

          Which	      B-NP
          share	      I-NP
         holder	      E-NP
             of	      S-PP
        outlook	      S-NP
             is	      S-VP
           also	    S-ADVP
            the	      B-NP
        content	      I-NP
        license	      E-NP
             of	      S-PP
            the	      B-NP
            MSX	      I-NP
         Basics	      E-NP
              \	         O
              ?	         O

             On	      S-PP
            how	      B-NP
           many	      I-NP
      different	      I-NP
        grounds	      E-NP
           were	      S-VP
        seasons	      S-NP
        chaired	      S-VP
             by	      S-PP
        Ronaldo	      S-NP
           held	      S-VP
              \	         O
              ?	         O

          Which	      B-NP
         source	      I-NP
        country	      E-NP
             of	      S-PP
  SamurAbsheron	      B-NP
        channel	      E-NP
             is	      S-VP
            the	      B-NP
          birth	      I-NP
          place	      E-NP
             of	      S-PP
           Anar	      B-NP
       Salmanov	      E-NP
              \	         O
              ?	         O

          Where	    S-ADVP
            was	      S-VP
            the	      B-NP
         battle	      E-NP
         fought	      S-VP
          where	    S-ADVP
            2nd	      B-NP
        Foreign	      I-NP
       Infantry	      I-NP
       Regiment	      E-NP
   participated	      S-VP
              \	         O
              ?	         O

           What	      S-NP
             is	      S-VP
            the	      B-NP
       operator	      E-NP
             of	      S-PP
             SR	      B-NP
          class	      E-NP
           3Sub	         O
              \	         O
              ?	         O

          Which	      B-NP
           band	      E-NP
             's	      B-NP
         former	      I-NP
         member	      E-NP
            are	      S-VP
          Kevin	      B-NP
          Jonas	      I-NP
            and	      I-NP
            Joe	      I-NP
          Jonas	      E-NP
              \	         O
              ?	         O

            Did	         O
           Timm	      B-NP
           Gunn	      I-NP
          guest	      E-NP
             in	      S-PP
        Sunrise	      S-NP
              \	         O
              (	         O
          HIMYM	         O
              \	         O
              )	         O
              \	         O
              ?	         O

           Name	      S-VP
            the	      B-NP
        tenants	      E-NP
             of	      S-PP
              O	      B-NP
             co	      I-NP
       Coliseum	      E-NP
              \	         O
              ?	         O

          which	      S-NP
     politician	      S-NP
             is	      B-VP
      currently	      I-VP
         ruling	      E-VP
           over	      S-PP
      Rishikesh	      S-NP
              \	         O
              ?	         O

             Is	      S-VP
          north	      B-NP
        america	      I-NP
            one	      E-NP
             of	      S-PP
            the	      B-NP
   destinations	      E-NP
             of	      S-PP
       airtours	      S-NP
        airways	      S-NP
              \	         O
              ?	         O

            Who	      S-NP
           have	      B-VP
           done	      E-VP
          their	      B-NP
           PhDs	      E-NP
          under	      S-PP
              a	      B-NP
       National	      I-NP
          Medal	      E-NP
             of	      S-PP
        Science	      B-NP
         winner	      E-NP
              \	         O
              ?	         O

            Who	      S-NP
             is	      S-VP
            the	      B-NP
         common	      I-NP
        manager	      E-NP
             of	      S-PP
          Aston	      B-NP
          Villa	      I-NP
           2000	      I-NP
             02	      I-NP
         season	      E-NP
            and	         O
           aldo	      S-VP
            the	      B-NP
        manager	      E-NP
             of	      S-PP
  Middlesbrough	      B-NP
              F	      I-NP
              C	      I-NP
         season	      E-NP
           2009	      B-NP
             10	      E-NP

           Name	         O
            the	      B-NP
         mascot	      E-NP
             of	      S-PP
            the	      B-NP
       military	      I-NP
         branch	      E-NP
             of	      S-PP
        William	      B-NP
         Harper	      E-NP

            How	      B-NP
           many	      I-NP
         tenats	      E-NP
           have	      B-VP
           been	      E-VP
          there	    S-ADVP
              ,	         O
             of	      S-PP
            the	      B-NP
  constructions	      E-NP
